P 	P波走时(s) 	S 	S波走时(s)	震源深度(km)	震中距(km)
P 	0.000	S 	0.000 	0.0 	0.0 
P 	0.345	S 	0.596 	0.0 	2.0 
P 	0.690	S 	1.191 	0.0 	4.0 
P 	1.034	S 	1.786 	0.0 	6.0 
P 	1.379	S 	2.381 	0.0 	8.0 
P 	1.724	S 	2.977 	0.0 	10.0 
P 	2.069	S 	3.572 	0.0 	12.0 
P 	2.414	S 	4.167 	0.0 	14.0 
P 	2.759	S 	4.762 	0.0 	16.0 
P 	3.104	S 	5.357 	0.0 	18.0 
P 	3.449	S 	5.953 	0.0 	20.0 
P 	3.794	S 	6.548 	0.0 	22.0 
P 	4.138	S 	7.143 	0.0 	24.0 
P 	4.483	S 	7.738 	0.0 	26.0 
P 	4.828	S 	8.334 	0.0 	28.0 
P 	5.173	S 	8.929 	0.0 	30.0 
P 	5.518	S 	9.524 	0.0 	32.0 
P 	5.862	S 	10.119 	0.0 	34.0 
P 	6.207	S 	10.715 	0.0 	36.0 
P 	6.552	S 	11.310 	0.0 	38.0 
P 	6.897	S 	11.905 	0.0 	40.0 
P 	7.242	S 	12.500 	0.0 	42.0 
P 	7.587	S 	13.096 	0.0 	44.0 
P 	7.931	S 	13.691 	0.0 	46.0 
P 	8.276	S 	14.286 	0.0 	48.0 
P 	8.621	S 	14.881 	0.0 	50.0 
P 	9.483	S 	16.369 	0.0 	55.0 
P 	10.345	S 	17.857 	0.0 	60.0 
P 	11.207	S 	19.346 	0.0 	65.0 
P 	12.069	S 	20.833 	0.0 	70.0 
P 	12.931	S 	22.321 	0.0 	75.0 
P 	13.793	S 	23.809 	0.0 	80.0 
P 	14.655	S 	25.297 	0.0 	85.0 
P 	15.517	S 	26.786 	0.0 	90.0 
P 	16.379	S 	28.274 	0.0 	95.0 
P 	17.241	S 	29.762 	0.0 	100.0 
P 	18.103	S 	31.250 	0.0 	105.0 
P 	18.965	S 	32.738 	0.0 	110.0 
P 	19.828	S 	34.226 	0.0 	115.0 
P 	20.690	S 	35.714 	0.0 	120.0 
P 	21.552	S 	37.202 	0.0 	125.0 
P 	22.413	S 	38.690 	0.0 	130.0 
P 	23.275	S 	40.178 	0.0 	135.0 
P 	24.137	S 	41.666 	0.0 	140.0 
P 	24.999	S 	43.154 	0.0 	145.0 
P 	25.861	S 	44.642 	0.0 	150.0 
P 	26.692	S 	46.130 	0.0 	155.0 
P 	27.310	S 	47.618 	0.0 	160.0 
P 	27.929	S 	48.967 	0.0 	165.0 
P 	28.547	S 	50.080 	0.0 	170.0 
P 	29.165	S 	51.192 	0.0 	175.0 
P 	29.784	S 	52.304 	0.0 	180.0 
P 	30.402	S 	53.417 	0.0 	185.0 
P 	31.021	S 	54.529 	0.0 	190.0 
